,GSM1276026,GSM1276027,GSM1276028,GSM1276029,GSM1276030,GSM1276031,GSM1276032,GSM1276033,GSM1276034,GSM1276035,GSM1276036,GSM1276037,GSM1276038,GSM1276039,GSM1276040,GSM1276041,GSM1276042,GSM1276043,GSM1276044,GSM1276045,GSM1276046,GSM1276047
SNW1,6.16865,6.09629,6.26365,6.38467,6.23056,6.37409,6.22408,6.5869,6.48153,6.27204,6.23567,6.50607,6.56132,6.43792,6.55294,6.51223,6.40494,6.55207,6.71653,6.63698,6.3234,6.44792
LOC100131497,2.06504,1.88094,2.16223,1.89221,2.11201,1.92232,1.88808,1.87382,2.01545,2.15275,2.14126,2.21786,2.05406,2.00008,2.07821,2.23255,1.9207,2.03409,2.14728,2.18262,2.09912,2.07233
DIO2,2.08698,1.915,1.88447,1.95337,2.17923,1.85547,2.00772,2.14042,2.00379,2.15919,1.8656,2.1089,1.86927,1.94202,2.01481,1.81683,1.76575,1.80871,1.97617,1.94987,1.89574,2.11973
CEP128,4.12496,4.1437,4.40171,4.23405,3.97429,4.03839,4.24778,4.17154,4.01773,3.86844,4.07007,4.09733,4.25614,4.03279,3.90402,4.28162,4.02312,4.15273,4.25615,4.37899,4.22399,4.06926
GTF2A1,5.54185,5.61771,5.94522,6.0448,5.78935,6.18912,5.97527,6.11573,6.03894,5.81014,5.85838,5.92501,6.04977,5.94961,6.13557,6.13243,5.90944,5.93827,6.17451,6.22255,5.88475,5.97075
STON2,5.18436,5.35716,5.56836,5.37042,5.31266,5.2198,5.70245,5.15526,5.34649,6.17628,5.6795,5.53837,5.70623,5.17017,4.94312,5.89334,5.30602,5.39415,4.86663,5.24864,5.7923,4.84249
SEL1L,7.12946,7.00231,7.39293,7.40157,7.15797,7.5543,7.31074,7.78808,7.49133,7.43829,7.17802,7.30997,7.46999,7.40753,7.83919,7.62908,7.68276,7.55658,7.47869,7.60237,7.30243,7.49345
LOC100506731,2.3777,2.2506,2.74735,2.5612,2.43899,2.49833,2.40335,2.75296,2.57582,2.44046,2.47511,2.73697,2.58239,2.47251,2.43537,2.19809,2.44558,2.49666,2.58072,2.50643,2.45146,2.52021
GALC,5.95737,5.98429,5.93829,6.30975,5.98428,6.51228,6.17146,6.28477,6.27486,6.07521,6.13313,5.99993,6.28062,6.31961,6.22197,6.18085,6.25388,6.13591,6.48224,6.37895,6.22225,5.99398
Q6ZUR6_HUMAN,3.00809,3.30186,3.51387,2.84995,3.18501,3.09938,3.1808,2.99524,3.60206,3.13192,3.14641,3.14383,3.32314,3.58625,3.11346,3.63494,3.16464,3.1296,2.93095,3.42112,3.3756,3.30094
