"samplename"	"Cohort"	"y"	"prob"
"GSM2612246"	"Train-GSE98793"	1	0.631099933004995
"GSM2612247"	"Train-GSE98793"	1	0.37781037124803
"GSM2612248"	"Train-GSE98793"	0	0.488916392340106
"GSM2612249"	"Train-GSE98793"	1	0.796950322413952
"GSM2612250"	"Train-GSE98793"	0	0.518320467999595
"GSM2612251"	"Train-GSE98793"	0	0.389012004108709
"GSM2612252"	"Train-GSE98793"	0	0.509745106704105
"GSM2612253"	"Train-GSE98793"	1	0.684900929052529
"GSM2612254"	"Train-GSE98793"	1	0.980111649612947
"GSM2612255"	"Train-GSE98793"	1	0.90633257344791
"GSM2612256"	"Train-GSE98793"	1	0.453188839294086
"GSM2612257"	"Train-GSE98793"	1	0.887097801023362
"GSM2612258"	"Train-GSE98793"	1	0.63866169959492
"GSM2612259"	"Train-GSE98793"	0	0.565446724837541
"GSM2612260"	"Train-GSE98793"	1	0.990023719200606
"GSM2612261"	"Train-GSE98793"	1	0.920844674112051
"GSM2612262"	"Train-GSE98793"	1	0.99429241786029
"GSM2612263"	"Train-GSE98793"	1	0.731591437945744
"GSM2612264"	"Train-GSE98793"	1	0.888031403545086
"GSM2612265"	"Train-GSE98793"	1	0.877563247639253
"GSM2612266"	"Train-GSE98793"	1	0.919172671266367
"GSM2612267"	"Train-GSE98793"	1	0.990070129102041
"GSM2612268"	"Train-GSE98793"	0	0.543701460804677
"GSM2612269"	"Train-GSE98793"	1	0.546398977073229
"GSM2612270"	"Train-GSE98793"	1	0.526553379997442
"GSM2612271"	"Train-GSE98793"	1	0.977136775675886
"GSM2612272"	"Train-GSE98793"	0	0.123792300904709
"GSM2612273"	"Train-GSE98793"	1	0.865441383242129
"GSM2612274"	"Train-GSE98793"	1	0.182061929954801
"GSM2612275"	"Train-GSE98793"	0	0.603270987927857
"GSM2612276"	"Train-GSE98793"	1	0.963160634932236
"GSM2612277"	"Train-GSE98793"	1	0.933980774472245
"GSM2612278"	"Train-GSE98793"	0	0.658039526361787
"GSM2612279"	"Train-GSE98793"	0	0.41653615735993
"GSM2612280"	"Train-GSE98793"	0	0.274651967022719
"GSM2612281"	"Train-GSE98793"	1	0.99284145391385
"GSM2612282"	"Train-GSE98793"	1	0.814508255282249
"GSM2612283"	"Train-GSE98793"	1	0.934780547858624
"GSM2612284"	"Train-GSE98793"	0	0.736462877622126
"GSM2612285"	"Train-GSE98793"	1	0.51701251872335
"GSM2612286"	"Train-GSE98793"	0	0.718554370066359
"GSM2612287"	"Train-GSE98793"	0	0.133395100604002
"PCLZ100"	"GSE251778_M"	0	0.000161907401386295
"PCLZ101"	"GSE251778_M"	0	0.00112953149990646
"PCLZ102"	"GSE251778_M"	0	0.000112641835873613
"PCLZ103"	"GSE251778_M"	0	0.000166062778486765
"PCLZ104"	"GSE251778_M"	0	8.25626642796407e-05
"PCLZ105"	"GSE251778_M"	0	0.0012532609713245
"PCLZ106"	"GSE251778_M"	0	8.92226836546617e-05
"PCLZ107"	"GSE251778_M"	0	0.000180713142098283
"PCLZ108"	"GSE251778_M"	0	8.31455602703015e-05
"PCLZ109"	"GSE251778_M"	0	6.86979243541362e-05
"PCLZ110"	"GSE251778_M"	0	0.000397351351525859
"PCLZ111"	"GSE251778_M"	0	0.000199940340664199
"PCLZ112"	"GSE251778_M"	0	0.000481197151380425
"PCLZ113"	"GSE251778_M"	0	0.000120649438137589
"PCLZ114"	"GSE251778_M"	0	8.08447230142464e-05
"PCLZ115"	"GSE251778_M"	0	0.000375931675193366
"PCLZ116"	"GSE251778_M"	0	0.000339237267759491
"PCLZ117"	"GSE251778_M"	1	0.00010986205420915
"PCLZ118"	"GSE251778_M"	1	0.000229307971728643
"PCLZ119"	"GSE251778_M"	1	0.000488912559187647
"PCLZ121"	"GSE251778_M"	1	0.00245250433944735
"PCLZ122"	"GSE251778_M"	1	0.00153225936390255
"PCLZ123"	"GSE251778_M"	1	0.000369485069456605
"PCLZ124"	"GSE251778_M"	1	0.00218020479107191
"PCLZ125"	"GSE251778_M"	1	6.70049752861094e-05
"PCLZ126"	"GSE251778_M"	1	0.00347894795148617
"PCLZ127"	"GSE251778_M"	1	0.000380163166827753
"PCLZ128"	"GSE251778_M"	1	2.0362420652125e-05
"PCLZ129"	"GSE251778_M"	1	4.38301328659646e-05
"PCLZ130"	"GSE251778_M"	1	0.000105167620213594
"PCLZ131"	"GSE251778_M"	1	0.00414830412937877
"PCLZ132"	"GSE251778_M"	1	6.83691880919481e-05
"PCLZ133"	"GSE251778_M"	1	0.00173232991354644
"PCLZ134"	"GSE251778_M"	1	0.000221263882399978
"PCLZ135"	"GSE251778_M"	1	0.00049434971558983
"PCLZ136"	"GSE251778_M"	1	0.000612698890129576
"PCLZ137"	"GSE251778_M"	1	0.00090419609403008
"PCLZ138"	"GSE251778_M"	1	0.0654703395784724
"PCLZ139"	"GSE251778_M"	1	0.000590498199452544
