"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:409","DOID:409","liver disease","2/12","265/7865",0.00754716981132075,4.94654088050314,2.55462597309544,0.0597528919349643,0.171590827142363,0.128463720855245,"MPO/HP",2
"DOID:615","DOID:615","leukopenia","1/12","41/7865",0.024390243902439,15.9857723577236,3.76054868310099,0.0608342171375063,0.171590827142363,0.128463720855245,"ELANE",1
"DOID:0050848","DOID:0050848","obstructive sleep apnea","1/12","42/7865",0.0238095238095238,15.6051587301587,3.7097004102574,0.0622746554547804,0.171590827142363,0.128463720855245,"HP",1
"DOID:9408","DOID:9408","acute myocardial infarction","1/12","42/7865",0.0238095238095238,15.6051587301587,3.7097004102574,0.0622746554547804,0.171590827142363,0.128463720855245,"SERPING1",1
"DOID:2841","DOID:2841","asthma","2/12","273/7865",0.00732600732600733,4.8015873015873,2.4989799335461,0.0629951672412587,0.171590827142363,0.128463720855245,"MPO/HP",2
"DOID:11612","DOID:11612","polycystic ovary syndrome","1/12","43/7865",0.0232558139534884,15.2422480620155,3.66056770981667,0.0637130683570608,0.171590827142363,0.128463720855245,"SLPI",1
"DOID:1176","DOID:1176","bronchial disease","2/12","277/7865",0.0072202166064982,4.73225030084236,2.47196069958765,0.0646395053110219,0.171590827142363,0.128463720855245,"MPO/HP",2
"DOID:9675","DOID:9675","pulmonary emphysema","1/12","44/7865",0.0227272727272727,14.8958333333333,3.61305330161146,0.0651494584337313,0.171590827142363,0.128463720855245,"ELANE",1
"DOID:12365","DOID:12365","malaria","1/12","47/7865",0.0212765957446809,13.9450354609929,3.47935640070631,0.0694465175592266,0.176039746062163,0.131794462292529,"HP",1
"DOID:161","DOID:161","keratosis","1/12","47/7865",0.0212765957446809,13.9450354609929,3.47935640070631,0.0694465175592266,0.176039746062163,0.131794462292529,"MPO",1
"DOID:1074","DOID:1074","kidney failure","2/12","289/7865",0.0069204152249135,4.53575547866205,2.39389853013767,0.0696627872117652,0.176039746062163,0.131794462292529,"MPO/HP",2
"DOID:0050847","DOID:0050847","sleep apnea","1/12","49/7865",0.0204081632653061,13.3758503401361,3.39684234068182,0.0723011568529033,0.177898899098591,0.133186341571138,"HP",1
"DOID:2913","DOID:2913","acute pancreatitis","1/12","49/7865",0.0204081632653061,13.3758503401361,3.39684234068182,0.0723011568529033,0.177898899098591,0.133186341571138,"SERPING1",1
"DOID:1073","DOID:1073","renal hypertension","1/12","52/7865",0.0192307692307692,12.6041666666667,3.28171826474625,0.0765680670691146,0.181076823641489,0.135565536416088,"MPO",1
"DOID:11130","DOID:11130","secondary hypertension","1/12","52/7865",0.0192307692307692,12.6041666666667,3.28171826474625,0.0765680670691146,0.181076823641489,0.135565536416088,"MPO",1
"DOID:1414","DOID:1414","ovarian dysfunction","1/12","52/7865",0.0192307692307692,12.6041666666667,3.28171826474625,0.0765680670691146,0.181076823641489,0.135565536416088,"SLPI",1
"DOID:75","DOID:75","lymphatic system disease","1/12","53/7865",0.0188679245283019,12.3663522012579,3.2454319200768,0.0779863677468529,0.181076823641489,0.135565536416088,"HP",1
"DOID:7693","DOID:7693","abdominal aortic aneurysm","1/12","54/7865",0.0185185185185185,12.1373456790123,3.2101094281173,0.0794026713294228,0.181076823641489,0.135565536416088,"MMP8",1
